City,Store_Name,Street_Address,City_Name,State,Zip_Code,Country,Phone
Brooklyn,Trader Joe's Brooklyn - City Point (547),445 Gold St,Brooklyn,NY,11201,US,(718) 243-0107
Brooklyn,Trader Joe's Brooklyn - Williamsburg (548),200 Kent Ave,Brooklyn,NY,11249,US,(718) 218-7315
Brooklyn,Trader Joe's Brooklyn (558),130 Court St,Brooklyn,NY,11201,US,(718) 246-8460
Buffalo,Trader Joe's Amherst (536),1565 Niagara Falls Blvd,Buffalo,NY,14228,US,(716) 833-4687
Colonie,Trader Joe's Colonie/Albany (535),79 Wolf Rd,Colonie,NY,12205,US,(518) 482-4538
Commack,Trader Joe's Commack (551),5900 Jericho Turnpike,Commack,NY,11725,US,(631) 499-0898
Garden City,Trader Joe's Westbury (550),910 Old Country Rd,Garden City,NY,11530,US,(516) 794-0174
Halfmoon,Trader Joe's Halfmoon (574),3 Halfmoon Crossing Blvd,Halfmoon,NY,12065,US,(518) 383-5015
Hartsdale,Trader Joe's Hartsdale (533),215 N Central Ave,Hartsdale,NY,10530,US,(914) 997-1960
Hewlett,Trader Joe's Hewlett (554),1280 West Broadway,Hewlett,NY,11557,US,(516) 569-7191
Ithaca,Trader Joe's Ithaca (568),744 S Meadow Street,Ithaca,NY,14850,US,(607) 272-1420
Lake Grove,Trader Joe's Lake Grove (556),2085 Smith Haven Plaza,Lake Grove,NY,11755,US,(631) 366-2094
Larchmont,Trader Joe's Larchmont (532),1260 Boston Post Rd,Larchmont,NY,10538,US,(914) 833-9112
Merrick,Trader Joe's Merrick (553),1714 Merrick Rd,Merrick,NY,11566,US,(516) 771-1012
New York,Trader Joe's 72nd & Broadway (542),2073 Broadway,New York,NY,10023,US,(212) 799-0028
New York,Trader Joe's Chelsea (543),675 6th Ave,New York,NY,10010,US,(212) 255-2106
New York,Trader Joe's East Village (546),436 East 14th St,New York,NY,10009,US,(212) 777-9412
New York,Trader Joe's Essex Crossing (538),400 Grand St. (Cellar),New York,NY,10002,US,(212) 477-8340
New York,Trader Joe's Harlem (576),123 W 125th St,New York,NY,10027,US,(646) 337-1986
New York,Trader Joe's New York - Murray Hill (544),200 E 32nd St,New York,NY,10016,US,(212) 889-3279
New York,Trader Joe's SoHo (539),233 Spring Street,New York,NY,10013,US,(212) 691-2721
New York,Trader Joe's Union Square (540),142 E 14th St,New York,NY,10003,US,(212) 529-4612
New York,Trader Joe's Upper East Side - Bridgemarket (571),405 E. 59th Street,New York,NY,10022,US,(212) 935-3870
New York,Trader Joe's Upper West Side (545),670 Columbus Ave,New York,NY,10025,US,(212) 678-1680
Oceanside,Trader Joe's Oceanside (552),3418 Long Beach Rd,Oceanside,NY,11572,US,(516) 536-9163
Plainview,Trader Joe's Plainview (555),425 S Oyster Bay Rd,Plainview,NY,11803,US,(516) 933-6900
Queens,Trader Joe's Forest Hills (578),69-65 Yellowstone Blvd,Queens,NY,11375,US,(718) 544-8589
Queens,Trader Joe's Long Island City (565),22-43 Jackson Ave,Queens,NY,11101,US,(718) 472-2672
Queens,Trader Joe's Rego Park (557),9030 Metropolitan Ave,Queens,NY,11374,US,(718) 275-1791
Rochester,Trader Joe's Rochester (534),3349 Monroe Ave,Rochester,NY,14618,US,(585) 248-5011
Scarsdale,Trader Joe's Scarsdale (531),727 White Plains Rd,Scarsdale,NY,10583,US,(914) 472-2988
Staten Island,Trader Joe's Staten Island - Tottenville (580),6400 Amboy Rd,Staten Island,NY,10309,US,
Staten Island,Trader Joe's Staten Island (559),2385 Richmond Ave,Staten Island,NY,10314,US,(718) 370-1085
Syracuse,Trader Joe's Syracuse (537),3422 Erie Blvd E,Syracuse,NY,13214,US,(315) 446-1629
Yorktown,Trader Joe's Yorktown (567),3240 Crompond Road,Yorktown,NY,10598,US,(914) 737-1460
