store1,store2,distance_km,duration_min
Brooklyn Pier 5,Trader Joe's Brooklyn - City Point (547),2.3005,4.766666666666667
Brooklyn Pier 5,Trader Joe's Brooklyn - Williamsburg (548),1.8936,4.041666666666667
Brooklyn Pier 5,Trader Joe's Brooklyn (558),3.1161999999999996,6.033333333333333
Brooklyn Pier 5,Trader Joe's Westbury (550),37.2731,39.53333333333333
Brooklyn Pier 5,Trader Joe's Hewlett (554),33.9171,35.54833333333333
Brooklyn Pier 5,Trader Joe's Merrick (553),43.9,42.611666666666665
Brooklyn Pier 5,Trader Joe's 72nd & Broadway (542),15.2478,21.065
Brooklyn Pier 5,Trader Joe's Chelsea (543),7.0808,14.270000000000001
Brooklyn Pier 5,Trader Joe's East Village (546),6.027,11.671666666666665
Brooklyn Pier 5,Trader Joe's Harlem (576),19.1281,23.001666666666665
Brooklyn Pier 5,Trader Joe's New York - Murray Hill (544),7.2933,15.593333333333334
Brooklyn Pier 5,Trader Joe's SoHo (539),5.9508,10.921666666666665
Brooklyn Pier 5,Trader Joe's Union Square (540),6.0826,12.155
Brooklyn Pier 5,Trader Joe's Upper East Side - Bridgemarket (571),12.4775,17.223333333333336
Brooklyn Pier 5,Trader Joe's Upper West Side (545),17.146,23.598333333333336
Brooklyn Pier 5,Trader Joe's Forest Hills (578),13.5661,18.948333333333334
Brooklyn Pier 5,Trader Joe's Long Island City (565),7.1268,11.639999999999999
Brooklyn Pier 5,Trader Joe's Rego Park (557),10.992,15.898333333333333
Brooklyn Pier 5,Trader Joe's Staten Island - Tottenville (580),39.8838,42.92666666666666
Brooklyn Pier 5,Trader Joe's Staten Island (559),29.195,31.951666666666664
Trader Joe's Brooklyn - City Point (547),Trader Joe's Brooklyn - Williamsburg (548),5.6609,10.108333333333333
Trader Joe's Brooklyn - City Point (547),Trader Joe's Brooklyn (558),1.6148,3.6966666666666668
Trader Joe's Brooklyn - City Point (547),Trader Joe's Westbury (550),39.694300000000005,42.65333333333333
Trader Joe's Brooklyn - City Point (547),Trader Joe's Hewlett (554),30.085,36.88666666666666
Trader Joe's Brooklyn - City Point (547),Trader Joe's Merrick (553),40.067800000000005,43.95
Trader Joe's Brooklyn - City Point (547),Trader Joe's 72nd & Broadway (542),12.1048,23.11
Trader Joe's Brooklyn - City Point (547),Trader Joe's Chelsea (543),7.087,14.268333333333334
Trader Joe's Brooklyn - City Point (547),Trader Joe's East Village (546),6.067699999999999,11.856666666666666
Trader Joe's Brooklyn - City Point (547),Trader Joe's Harlem (576),21.5492,26.121666666666666
Trader Joe's Brooklyn - City Point (547),Trader Joe's New York - Murray Hill (544),7.299600000000001,15.591666666666667
